0,0,0,0,0,0,0,0,0,-2,0,1
0,0,0,0,0,0,0,0,1,0,1,1
0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,1,2,3,1
0,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,1,0,0,2,0,5,1
0,0,0,0,0,0,0,0,0,0,6,1
0,0,0,0,0,1,0,0,2,0,7,1
0,0,0,0,0,1,0,0,1,-2,8,1
0,0,0,0,0,1,0,1,3,-2,9,1
0,0,0,0,0,0,0,1,1,-2,10,1
0,0,0,1,0,2,0,1,1,-2,11,1
0,0,0,1,0,2,-1,1,-1,-2,12,1
0,0,0,2,0,2,1,1,1,0,13,1
0,0,0,2,0,2,0,1,-1,0,14,1
0,0,0,2,0,2,1,1,1,2,15,1
0,0,0,2,0,2,1,1,0,0,16,1
0,0,1,2,0,2,3,1,0,0,17,1
0,0,1,2,0,2,3,0,0,0,18,1
0,0,1,2,0,3,3,2,0,0,19,1
0,0,1,2,0,3,0,2,-4,0,20,1
0,0,2,2,0,5,0,2,-4,0,21,1
0,0,1,2,0,3,0,0,-4,0,22,1
0,0,1,3,0,3,4,0,-2,2,23,1
0,0,0,3,0,1,2,0,-2,2,24,1
0,1,2,3,0,3,2,0,-2,2,25,1
0,1,2,3,0,3,2,0,-3,0,26,1
0,1,2,3,0,3,2,3,1,0,27,1
0,1,2,3,0,3,1,1,-1,0,28,1
0,1,2,3,0,3,2,1,1,0,29,1
0,1,1,3,0,1,2,-1,-3,0,30,1
0,1,1,4,0,3,2,-1,-3,0,31,1
0,1,0,4,0,1,0,-1,-3,0,32,1
0,1,0,5,0,3,2,1,-3,0,33,1
0,1,0,5,0,3,0,-1,-6,-2,34,1
0,1,0,5,0,4,0,-1,-2,0,35,1
0,1,0,5,0,3,0,-3,-2,0,36,1
0,1,1,5,0,5,0,-1,0,0,37,1
0,1,1,5,0,5,0,-2,-2,0,38,1
0,1,1,5,0,5,1,-2,0,2,39,1
0,1,1,4,0,5,-1,-2,-4,0,40,1
0,1,1,7,0,5,1,-2,-4,0,41,1
0,1,1,7,-1,3,1,-2,-4,0,42,1
1,1,1,7,1,3,1,0,-4,0,43,1
1,1,1,4,1,3,-1,0,-4,0,44,1
1,2,3,8,1,5,-1,0,0,0,45,1
1,2,3,8,1,5,-2,0,-4,0,46,1
1,2,4,8,1,5,2,0,0,0,47,1
1,2,4,8,0,5,2,-2,0,0,48,1
2,2,4,8,2,5,2,0,0,2,49,1
2,1,4,8,2,3,2,0,-2,2,50,1
2,1,4,8,3,3,2,2,-2,2,51,1
1,-1,0,4,1,3,2,0,-2,2,52,1
1,-1,0,4,1,4,2,2,2,2,53,1
1,-2,0,4,-1,2,2,2,0,2,54,1
1,-1,2,4,-1,2,2,2,0,2,55,1
1,-2,2,4,-1,0,2,2,0,2,56,1
1,-2,2,4,-2,-4,-2,0,0,2,57,1
1,-1,2,4,-2,-2,-2,0,0,2,58,1
1,-2,-2,0,-2,-2,-2,0,0,2,59,1
2,2,2,4,-2,-2,-2,0,0,2,60,1
0,0,0,0,0,0,0,0,0,-2,0,-1
0,0,0,0,0,0,0,0,1,0,1,-1
0,0,0,0,0,0,0,0,0,0,2,-1
0,0,0,0,0,0,0,1,0,2,3,-1
0,0,0,0,0,0,0,1,-1,0,4,-1
0,0,0,0,0,1,0,1,1,0,5,-1
0,0,0,0,0,1,0,0,-1,-2,6,-1
0,0,0,0,0,1,0,1,-1,-2,7,-1
0,0,0,0,0,1,0,1,-2,-2,8,-1
0,0,0,0,0,2,0,3,2,-2,9,-1
0,0,0,0,0,1,0,1,0,-2,10,-1
0,0,0,0,0,2,0,3,2,-2,11,-1
0,0,0,0,0,2,-1,3,0,-2,12,-1
0,0,0,0,0,2,-1,3,3,0,13,-1
0,0,-1,0,0,0,-1,-1,-1,0,14,-1
0,0,0,0,0,0,1,-1,-1,0,15,-1
0,0,-1,0,0,-2,1,-1,-1,0,16,-1
0,0,-1,0,0,-1,1,1,1,0,17,-1
0,0,-1,-1,0,-1,-1,1,1,0,18,-1
0,0,-1,-1,0,-1,0,1,3,0,19,-1
0,0,-1,-2,0,-1,-2,1,1,0,20,-1
0,0,-1,-1,0,1,-2,1,1,0,21,-1
0,0,-1,-4,0,1,-2,1,1,0,22,-1
0,0,-1,-3,0,1,0,1,3,0,23,-1
0,-1,-3,-5,0,1,0,1,3,0,24,-1
0,-1,-3,-5,0,1,1,1,5,0,25,-1
0,-1,-4,-5,0,-1,1,-1,1,0,26,-1
0,-1,-4,-5,0,-1,2,-1,5,2,27,-1
0,-1,-4,-5,0,-1,2,-1,2,0,28,-1
0,-1,-4,-5,0,-1,3,-1,4,0,29,-1
0,-1,-5,-5,0,-1,1,-1,4,0,30,-1
0,-1,-5,-5,0,0,3,-1,4,0,31,-1
0,-1,-5,-5,0,0,2,-1,0,0,32,-1
0,-1,-5,-5,0,0,2,-1,3,0,33,-1
0,-1,-6,-5,0,0,0,-1,1,0,34,-1
0,-1,-6,-4,0,0,4,1,3,0,35,-1
0,-1,-6,-4,0,0,2,1,0,0,36,-1
0,-1,-5,-4,0,0,4,1,0,0,37,-1
0,-2,-7,-4,0,0,4,1,0,0,38,-1
0,-2,-7,-3,0,2,4,1,0,0,39,-1
